period_utc,ba_code,fuel_code,fuel_name,is_renewable,is_carbon_free,generation_mwh
2026-06-11 09:00:00+00:00,AECI,COL,Coal,False,False,2299.6368301651137
2026-06-11 09:00:00+00:00,AECI,NG,Natural Gas,False,False,2299.6368301651137
2026-06-11 09:00:00+00:00,AECI,NUC,Nuclear,False,True,1149.8184150825568
2026-06-11 09:00:00+00:00,AECI,OTH,Other,False,False,229.96368301651137
2026-06-11 09:00:00+00:00,AECI,SUN,Solar,True,True,108.40591979173927
2026-06-11 09:00:00+00:00,AECI,WND,Wind,True,True,1865.5206661010404
2026-06-11 09:00:00+00:00,AVA,COL,Coal,False,False,87.12620002279151
2026-06-11 09:00:00+00:00,AVA,NG,Natural Gas,False,False,392.0679001025618
2026-06-11 09:00:00+00:00,AVA,NUC,Nuclear,False,True,174.25240004558302
2026-06-11 09:00:00+00:00,AVA,SUN,Solar,True,True,30.803763427565706
2026-06-11 09:00:00+00:00,AVA,WAT,Hydro,True,True,1197.9852503133834
2026-06-11 09:00:00+00:00,AVA,WND,Wind,True,True,234.61920125851336
2026-06-11 09:00:00+00:00,AZPS,COL,Coal,False,False,1655.5918770377696
2026-06-11 09:00:00+00:00,AZPS,NG,Natural Gas,False,False,3219.2064275734406
2026-06-11 09:00:00+00:00,AZPS,NUC,Nuclear,False,True,1471.637224033573
2026-06-11 09:00:00+00:00,AZPS,OTH,Other,False,False,459.8866325104916
2026-06-11 09:00:00+00:00,AZPS,SUN,Solar,True,True,1300.7558257008577
2026-06-11 09:00:00+00:00,AZPS,WND,Wind,True,True,639.486395657107
2026-06-11 09:00:00+00:00,BANC,GEO,Geothermal,True,True,118.98070716214039
2026-06-11 09:00:00+00:00,BANC,NG,Natural Gas,False,False,1388.108250224971
2026-06-11 09:00:00+00:00,BANC,NUC,Nuclear,False,True,277.6216500449943
2026-06-11 09:00:00+00:00,BANC,OTH,Other,False,False,79.32047144142693
2026-06-11 09:00:00+00:00,BANC,SUN,Solar,True,True,701.1005405393358
2026-06-11 09:00:00+00:00,BANC,WAT,Hydro,True,True,713.8842429728423
2026-06-11 09:00:00+00:00,BANC,WND,Wind,True,True,393.32397936105644
2026-06-11 09:00:00+00:00,BPAT,COL,Coal,False,False,391.5087109023402
2026-06-11 09:00:00+00:00,BPAT,NG,Natural Gas,False,False,1761.789199060531
2026-06-11 09:00:00+00:00,BPAT,NUC,Nuclear,False,True,783.0174218046805
2026-06-11 09:00:00+00:00,BPAT,SUN,Solar,True,True,138.4192321863242
2026-06-11 09:00:00+00:00,BPAT,WAT,Hydro,True,True,5383.244774907179
2026-06-11 09:00:00+00:00,BPAT,WND,Wind,True,True,1318.2963590015404
2026-06-11 09:00:00+00:00,CISO,GEO,Geothermal,True,True,1273.848622811133
2026-06-11 09:00:00+00:00,CISO,NG,Natural Gas,False,False,14861.567266129885
2026-06-11 09:00:00+00:00,CISO,NUC,Nuclear,False,True,2972.3134532259774
2026-06-11 09:00:00+00:00,CISO,OTH,Other,False,False,849.232415207422
