period_utc,ba_code,actual_mwh,expected_mwh,residual_mwh,z_score,severity,is_anomaly
2026-06-18 07:00:00+00:00,AZPS,1014.0,8811.604463908014,-7797.604463908014,-7.626005619325872,critical,True
2026-06-18 07:00:00+00:00,LDWP,1736.0,5741.396148107426,-4005.3961481074257,-4.044544133368588,critical,True
2026-06-18 07:00:00+00:00,JEA,1486.0,2954.406343787291,-1468.406343787291,-3.6317535869378736,critical,True
2026-06-18 07:00:00+00:00,CPLE,6717.0,9912.824147762085,-3195.824147762085,-3.619705800344639,critical,True
2026-06-18 07:00:00+00:00,FPL,16533.0,24992.895078148616,-8459.895078148616,-3.5696042367794627,critical,True
2026-06-18 07:00:00+00:00,TEPC,1794.0,2857.833578802671,-1063.8335788026711,-3.5448351411555463,critical,True
2026-06-18 07:00:00+00:00,TEC,2649.0,4142.3651665138295,-1493.3651665138295,-3.5221052578393923,critical,True
2026-06-18 07:00:00+00:00,SCEG,2417.0,5343.5818542458355,-2926.5818542458355,-3.46695061547712,critical,True
2026-06-18 07:00:00+00:00,SWPP,34682.0,47320.74887527352,-12638.748875273523,-3.4546699344395884,critical,True
2026-06-18 07:00:00+00:00,DUK,11480.0,21494.758204513604,-10014.758204513604,-3.353669462644143,critical,True
2026-06-18 07:00:00+00:00,PACW,2228.0,4712.228101315975,-2484.2281013159754,-3.348814149084429,critical,True
2026-06-18 07:00:00+00:00,NWMT,1120.0,2134.414367812387,-1014.4143678123869,-3.263868089207549,critical,True
2026-06-18 07:00:00+00:00,AVA,1301.0,2079.9118281560172,-778.9118281560172,-3.2501311456158204,critical,True
2026-06-18 07:00:00+00:00,PJM,89767.0,121939.04984953845,-32172.049849538453,-3.2096359580893883,critical,True
2026-06-18 07:00:00+00:00,SRP,5340.0,7063.332618330208,-1723.3326183302079,-3.1922982867745873,critical,True
2026-06-18 07:00:00+00:00,PACE,5972.0,10110.255648610542,-4138.255648610542,-3.1886853842742866,critical,True
2026-06-18 07:00:00+00:00,AECI,2171.0,6706.10266621432,-4535.10266621432,-3.147596339052881,critical,True
2026-06-18 07:00:00+00:00,CISO,28007.0,41187.55664080249,-13180.55664080249,-3.142162210100793,critical,True
2026-06-18 07:00:00+00:00,NYIS,15147.0,26286.309641125226,-11139.309641125226,-3.046202801759998,critical,True
2026-06-18 07:00:00+00:00,SCL,841.0,1629.6290930499456,-788.6290930499456,-3.0087186195941094,critical,True
2026-06-18 07:00:00+00:00,MISO,71574.0,103874.87610581762,-32300.876105817617,-2.982928343288222,warn,True
2026-06-18 07:00:00+00:00,PSCO,4624.0,7202.711486105133,-2578.711486105133,-2.8633303357014954,warn,True
2026-06-18 07:00:00+00:00,BANC,2162.0,3787.424332061007,-1625.4243320610071,-2.8468218225987303,warn,True
2026-06-18 07:00:00+00:00,PSEI,2423.0,4686.978623293177,-2263.9786232931774,-2.7740412768814786,warn,True
2026-06-18 07:00:00+00:00,PGE,2571.0,3752.272338598362,-1181.2723385983618,-2.7628384592544144,warn,True
2026-06-18 07:00:00+00:00,ISNE,11734.0,19869.68671390851,-8135.686713908512,-2.7487660408310908,warn,True
2026-06-18 07:00:00+00:00,ERCO,58549.0,74496.19510098208,-15947.195100982077,-2.730613249359161,warn,True
2026-06-18 07:00:00+00:00,TVA,20357.0,27930.377631631778,-7573.377631631778,-2.633845917545355,warn,True
2026-06-18 07:00:00+00:00,IPCO,2542.0,3082.5669488188946,-540.5669488188946,-2.4087420256721654,warn,True
