period_utc,ba_code,demand_mwh,forecast_mwh,forecast_error_mwh,abs_forecast_error_pct
2026-06-04 09:00:00+00:00,AECI,7449.553400743041,7699.238830048199,-249.68542930515832,3.2429884929754182
2026-06-04 09:00:00+00:00,AVA,2246.87812807246,2259.0282863399634,-12.15015826750323,0.5378488769252507
2026-06-04 09:00:00+00:00,AZPS,9476.354407710265,9004.091836105012,472.26257160525347,5.244977285899659
2026-06-04 09:00:00+00:00,BANC,4043.817653393494,4158.372619929427,-114.55496653593309,2.754802828080309
2026-06-04 09:00:00+00:00,BPAT,10220.68940008433,10013.949810079488,206.73959000484138,2.0645159395221726
2026-06-04 09:00:00+00:00,CISO,42642.33544687569,42293.11816233732,349.2172845383684,0.8257071119654446
2026-06-04 09:00:00+00:00,CPLE,9887.187241607024,9768.317870726516,118.86937088050763,1.2168868013266931
2026-06-04 09:00:00+00:00,DUK,23202.687389282404,23362.96886970754,-160.28148042513567,0.6860492830299358
2026-06-04 09:00:00+00:00,ERCO,77264.65707973202,77991.94413352042,-727.287053788401,0.9325156102575187
2026-06-04 09:00:00+00:00,FPL,26359.9712710834,24173.066446533863,2186.904824549536,9.046865565800456
2026-06-04 09:00:00+00:00,IPCO,2942.921995831292,2969.454053865007,-26.532058033715202,0.893499530635316
2026-06-04 09:00:00+00:00,ISNE,22653.113539093403,22944.17630201093,-291.0627629175251,1.2685692399077977
2026-06-04 09:00:00+00:00,JEA,3123.227674054951,3442.1489001702444,-318.9212261152934,9.265178101374985
2026-06-04 09:00:00+00:00,LDWP,6311.415600937785,6057.1430382235585,254.2725627142263,4.197895957048415
2026-06-04 09:00:00+00:00,MISO,115529.92224956075,113755.73666771015,1774.185581850601,1.5596449320469374
2026-06-04 09:00:00+00:00,NEVP,6618.134386542644,6748.040041942578,-129.9056553999335,1.9250872044697764
2026-06-04 09:00:00+00:00,NWMT,2345.0301468798743,2400.900165069186,-55.87001818931185,2.327044622769721
2026-06-04 09:00:00+00:00,NYIS,28526.65133612918,28119.163404608542,407.4879315206381,1.4491467105804918
2026-06-04 09:00:00+00:00,PACE,11079.34848330229,11261.075170906965,-181.72668760467423,1.6137596530228826
2026-06-04 09:00:00+00:00,PACW,4922.225419418982,4913.749793099796,8.475626319185722,0.17248795067033618
2026-06-04 09:00:00+00:00,PGE,3895.678606165121,3912.627887921083,-16.949281755962147,0.4331943195591722
2026-06-04 09:00:00+00:00,PJM,129780.21795700012,128337.21918239561,1442.998774604508,1.1243805840562022
2026-06-04 09:00:00+00:00,PSCO,7810.792654727695,8147.674480933722,-336.88182620602765,4.134699134021135
2026-06-04 09:00:00+00:00,PSEI,5074.113094655257,4882.434848322866,191.6782463323907,3.925874124018938
2026-06-04 09:00:00+00:00,SCEG,5735.2380029595015,6102.173207785668,-366.9352048261662,6.013188946488758
2026-06-04 09:00:00+00:00,SCL,1832.1394049958822,1811.4647399833104,20.674665012571722,1.1413230716686322
2026-06-04 09:00:00+00:00,SOCO,39684.6581709074,41908.47150877343,-2223.8133378660277,5.306357540146694
